北京|北京|北京市|116.4|39.9|116.395645038|39.9299857781
北京|北京|天安门|116.38|39.9|116.40390583|39.9151754663
北京|北京|东城区|116.42|39.93|116.421884701|39.938574013
北京|北京|西城区|116.37|39.92|116.373190104|39.9342801437
北京|北京|崇文区|116.43|39.88|116.42463629|39.8892918068
北京|北京|宣武区|116.35|39.87|116.369352008|39.8915308751
北京|北京|朝阳区|116.43|39.92|116.521694891|39.9589531664
北京|北京|丰台区|116.28|39.85|116.258370335|39.8419378522
北京|北京|石景山区|116.22|39.9|116.18455581|39.9388665446
北京|北京|海淀区|116.3|39.95|116.239677801|40.0331620451
北京|北京|门头沟区|116.1|39.93|115.795795381|40.0008930315
北京|北京|房山区|116.13|39.75|115.862836313|39.7267526208
北京|北京|通州区|116.65|39.92|116.740079181|39.8098148839
北京|北京|顺义区|116.65|40.13|116.728229045|40.1549514704
北京|北京|昌平区|116.23|40.22|116.216456357|40.2217235498
北京|北京|大兴区|116.33|39.73|116.425194597|39.6527901184
北京|北京|怀柔区|116.63|40.32|116.593408356|40.6381393403
北京|北京|平谷区|117.12|40.13|117.150433448|40.2159254539
北京|北京|密云县|116.83|40.37|117.001200535|40.532843361
北京|北京|延庆县|115.97|40.45|116.169735286|40.5451564697
天津|天津|天津市|117.2|39.12|117.210813092|39.1439299033
天津|天津|和平区|117.2|39.12|117.202813654|39.1248088447
天津|天津|河东区|117.22|39.12|117.261693165|39.1266256847
天津|天津|河西区|117.22|39.12|117.236165451|39.0844937396
天津|天津|南开区|117.15|39.13|117.162727949|39.1169872855
天津|天津|河北区|117.18|39.15|117.203032|39.154227
天津|天津|红桥区|117.15|39.17|117.162216808|39.1706213312
天津|天津|塘沽区|117.65|39.02|117.649081447|39.0079361427
天津|天津|汉沽区|117.8|39.25|117.873530125|39.2477731805
天津|天津|大港区|117.45|38.83|117.380794393|38.7295728748
天津|天津|东丽区|117.3|39.08|117.414782343|39.1396046428
天津|天津|西青区|117.0|39.13|117.126201347|39.0350646115
天津|天津|津南区|117.38|38.98|117.39290996|38.9697905327
天津|天津|北辰区|117.13|39.22|117.180606098|39.259130626
天津|天津|武清区|117.03|39.38|117.034577914|39.4570425755
天津|天津|宝坻区|117.3|39.72|117.411420591|39.6155440041
天津|天津|滨海新区|117.68|39.03|117.646286271|39.059176638
天津|天津|宁河县|117.82|39.33|117.689424025|39.381560996
天津|天津|静海县|116.92|38.93|116.972772262|38.8612621443
天津|天津|蓟县|117.4|40.05|117.210813092|39.1439299033
河北|石家庄|石家庄市|114.52|38.05|114.522081844|38.0489583146
河北|石家庄|长安区|114.52|38.05|114.592621554|38.0768747958
河北|石家庄|桥东区|114.5|38.05|114.510784305|38.0633897538
